season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2024,1,DET,REG,LA,18,28,217,1,1,2,-17,0,0,187,148,7,-4.8084564083650525,-7.549819988863806,0,31,163,2,0,0,12,11.260816424095538,0,18,28,217,1,0,0,187,148,7,-2.1281539909354223,0,0,38,8,30,7,16,0,2.0,13.0,12,1,0,5,0,0,0,0,0,0,0,0,0,6,56,3,3,18,0,0,2,2,0,0,32.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,25;32,,,57,0,0,2,2,0,0,1.0,0,0,0,0,0
2024,1,GB,REG,PHI,17,35,260,2,1,2,-9,0,0,314,138,9,2.373681277087715,-12.177564110606909,0,21,163,1,1,0,7,8.390708402774298,0,17,32,260,2,0,0,314,138,9,4.61164697695506,0,0,40,8,26,7,26,0,2.0,12.0,5,2,34,6,0,0,0,0,1,1,1,1,0,10,71,7,0,0,1,24,3,4,1,0,31.0,0.75,0,2,1,0,0,0,0,0,0,1,0,0,31;23;26,43,,80,43,0,2,2,0,0,1.0,0,0,0,0,0
2024,1,HOU,REG,IND,24,32,234,2,0,4,-30,0,0,252,79,13,7.507696996312891,9.766073092337576,0,40,213,1,0,0,12,1.1946995000909082,0,24,31,234,2,0,0,252,79,13,15.356544368104275,0,0,21,6,18,5,19,0,2.0,13.0,2,1,0,7,0,0,0,0,0,0,0,0,0,5,30,5,0,0,0,0,3,3,0,0,51.0,1.0,0,0,0,0,3,0,0,0,0,0,0,0,51;50;51,,,152,0,0,2,2,0,0,1.0,0,0,0,0,0
2024,1,IND,REG,HOU,9,19,212,2,1,2,-13,0,0,312,51,4,-3.033125795656815,-14.212923379320847,0,22,104,2,0,0,9,5.316180346752051,0,9,19,212,2,0,0,312,51,4,1.5896211743820459,0,0,42,13,29,4,22,0,4.0,30.0,10,0,0,1,0,0,0,0,0,0,0,0,0,4,20,3,0,0,4,109,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,3,3,0,0,1.0,0,0,0,0,0
2024,1,JAX,REG,MIA,12,21,162,1,0,3,-23,0,0,206,40,8,1.7065504872972967,-0.24127536698391489,0,26,128,1,1,1,7,-9.104732941254042,0,12,19,162,1,0,0,206,40,8,5.9469350253930315,0,0,38,4,22,9,32,0,3.0,19.0,4,0,0,5,0,0,0,0,1,1,0,0,0,8,71,6,1,3,2,44,1,1,0,0,53.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,53,,,53,0,0,2,2,0,0,1.0,0,0,0,0,0
2024,1,KC,REG,BAL,20,28,291,1,1,2,-10,0,0,165,188,15,11.084406207205,4.191296409677575,0,20,72,2,0,0,4,-0.8725013073708396,0,20,27,291,1,0,0,165,188,15,14.509169768198596,0,0,46,3,23,3,9,1,1.0,6.0,1,0,0,4,0,0,0,0,0,0,1,1,0,6,45,3,0,0,2,57,2,2,0,0,32.0,1.0,0,0,2,0,0,0,0,0,0,0,0,0,32;31,,,63,0,0,3,3,0,0,1.0,0,0,0,0,0
2024,1,LA,REG,DET,34,49,317,1,1,2,-13,0,0,290,171,15,4.536420907523806,0.36535002291202545,0,23,83,1,0,0,8,-1.289133790129891,0,34,48,317,1,0,0,290,171,15,6.849217144150842,0,0,29,7,37,3,18,0,2.0,17.0,5,1,0,3,0,0,0,0,0,0,0,0,0,6,50,3,1,0,1,20,2,2,0,0,41.0,1.0,0,1,0,1,0,0,0,0,0,0,0,0,41;26,,,67,0,0,2,2,0,0,1.0,0,0,0,0,0
2024,1,LAC,REG,LV,17,26,144,1,0,1,-4,0,0,163,77,6,-4.875879753395097,-0.6245571374893188,0,27,176,1,0,0,5,0.27146262551844125,0,17,25,144,1,0,0,163,77,6,-1.9097435836588232,0,0,41,3,19,3,11,1,3.0,22.0,6,1,3,5,0,0,0,0,0,0,2,2,0,7,50,1,1,9,1,35,3,3,0,0,53.0,1.0,0,2,0,0,1,0,0,0,0,0,0,0,53;25;24,,,102,0,0,1,1,0,0,1.0,0,0,0,0,0
2024,1,LV,REG,LAC,25,33,257,1,1,4,-32,1,1,149,138,12,-1.242704641111882,1.0440231300890446,0,22,71,0,1,1,2,-18.512758815661073,0,25,32,257,1,0,0,149,138,12,11.28881685492841,0,0,29,5,21,2,5,0,1.0,4.0,5,0,0,2,0,0,0,0,0,0,0,0,0,2,15,3,2,28,1,28,1,2,1,0,32.0,0.5,0,0,1,0,0,0,0,0,0,1,0,0,32,49,,32,49,0,1,1,0,0,1.0,0,0,0,0,0
2024,1,MIA,REG,JAX,23,37,338,1,0,3,-19,0,0,228,243,11,4.323552238676893,-7.655266424020132,0,25,81,1,0,0,5,-2.7587864158640087,0,23,36,338,1,0,0,228,243,11,8.493112271224344,0,0,30,4,20,6,27,2,3.0,23.0,4,0,0,1,0,0,0,0,0,0,1,1,0,9,103,6,3,13,0,0,2,3,1,0,52.0,0.6666666666666666,0,0,1,0,1,0,0,0,0,1,0,0,37;52,42,,89,42,0,2,2,0,0,1.0,1,1,0,0,52
2024,1,MIN,REG,NYG,19,24,208,2,1,1,-7,0,0,195,68,8,9.554716408369131,16.699798729108732,0,26,111,1,0,0,7,0.806603261618875,0,19,23,208,2,1,1,195,68,8,12.914057561778463,0,0,34,8,24,6,27,0,5.0,20.0,12,2,10,6,1,0,0,0,0,0,0,0,0,7,63,3,1,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,4,4,0,0,1.0,0,0,0,0,0
2024,1,NE,REG,CIN,15,24,121,0,0,1,-1,0,0,154,54,6,-1.9693797345901767,1.1327047710833371,0,39,170,1,1,0,11,0.3665717382100411,0,15,23,121,0,0,0,154,54,6,-0.5545559877016828,0,0,29,3,23,3,6,3,3.0,10.0,4,0,0,3,0,0,0,0,1,1,2,2,0,5,40,2,1,10,1,27,3,3,0,0,37.0,1.0,0,0,3,0,0,0,0,0,0,0,0,0,32;35;37,,,104,0,0,1,1,0,0,1.0,0,0,0,0,0
2024,1,NO,REG,CAR,19,24,200,3,0,1,-1,0,0,208,96,7,7.993490761951094,10.192334651947021,0,37,180,2,0,0,14,4.767348478038938,0,19,24,200,3,0,0,208,96,7,8.90482155314136,0,0,30,3,23,4,28,1,4.0,26.0,5,2,2,6,0,1,0,0,0,0,1,1,0,10,95,3,4,60,2,65,4,4,0,0,57.0,1.0,0,0,1,1,2,0,0,0,0,0,0,0,57;44;52;39,,,192,0,0,5,5,0,0,1.0,0,0,0,0,0
2024,1,NYG,REG,MIN,22,42,186,0,2,5,-20,0,0,216,83,8,-22.593837722959112,-10.656155802701651,0,21,74,0,0,0,6,-1.698632760264445,0,22,38,186,0,0,0,216,83,8,-15.052167356137765,0,0,37,3,9,4,14,1,1.0,7.0,2,1,1,4,0,1,0,0,1,1,1,1,0,9,95,4,1,0,1,22,2,2,0,0,50.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,23;50,,,73,0,0,0,0,0,0,,0,0,0,0,0
